variable_name,label,pandas_dtype,non_null_count,missing_count,missing_percentage,n_unique,role
VMONTH,Month of Visit,float64,16025,0,0.0,12,general
VDAYR,Day of Week of Visit,float64,16025,0,0.0,7,general
ARRTIME,Arrival time (military time),str,16025,0,0.0,1438,general
WAITTIME,"Wait time to first provider (Physician/APRN/PA) contact, in minutes",float64,16025,0,0.0,398,general
LOV,Length of visit in minutes,float64,16025,0,0.0,1436,general
AGE,Patient age in years,float64,16025,0,0.0,95,general
AGER,Age recode,float64,16025,0,0.0,6,general
AGEDAYS,Age in days for patients less than one year,float64,16025,0,0.0,244,general
RESIDNCE,Patient residence,float64,16025,0,0.0,6,general
SEX,Patient sex,float64,16025,0,0.0,2,general
ETHUN,Unimputed ethnicity,float64,16025,0,0.0,3,general
ETHIM,Imputed ethnicity,float64,16025,0,0.0,2,general
RACEUN,Unimputed race,float64,16025,0,0.0,7,general
RACER,White/Black/Other imputed race,float64,16025,0,0.0,3,general
RACERETH,RACER and ETHNIC combination,float64,16025,0,0.0,4,general
ARREMS,Arrival by ambulance,float64,16025,0,0.0,4,general
AMBTRANSFER,Was the patient transferred from another hospital or urgent care facility?,float64,16025,0,0.0,5,general
NOPAY,No answer to expected source of payment item,float64,16025,0,0.0,2,general
PAYPRIV,Expected source(s) of payment for this visit: Private insurance,float64,16025,0,0.0,2,general
PAYMCARE,Expected source(s) of payment for this visit: Medicare,float64,16025,0,0.0,2,general
PAYMCAID,Expected source(s) of payment for this visit: Medicaid or CHIP or other state-based program,float64,16025,0,0.0,2,general
PAYWKCMP,Expected source(s) of payment for this visit: Workers' compensation,float64,16025,0,0.0,2,general
PAYSELF,Expected source(s) of payment for this visit: Self pay,float64,16025,0,0.0,2,general
PAYNOCHG,Expected source(s) of payment for this visit: No charge/Charity,float64,16025,0,0.0,2,general
PAYOTH,Expected source(s) of payment for this visit: Other,float64,16025,0,0.0,2,general
PAYDK,Expected source(s) of payment for this visit: Unknown,float64,16025,0,0.0,2,general
PAYTYPER,Recoded primary expected source of payment for this visit (based on hierarchy),float64,16025,0,0.0,9,general
TEMPF,Initial vital signs: Temperature (Fahrenheit),float64,16025,0,0.0,113,general
PULSE,Initial vital signs: Heart rate per minute,float64,16025,0,0.0,187,general
RESPR,Initial vital signs: Respiratory rate per minute,float64,16025,0,0.0,89,general
BPSYS,Initial vital signs: Blood pressure - Systolic,float64,16025,0,0.0,190,general
BPDIAS,Initial vital signs: Blood pressure - Diastolic,float64,16025,0,0.0,129,general
POPCT,Initial vital signs: Pulse oximetry (percent),float64,16025,0,0.0,57,general
IMMEDR,Immediacy with which patient should be seen (unimputed),float64,16025,0,0.0,9,general
PAINSCALE,Pain scale (0-10),float64,16025,0,0.0,13,general
