variable_name,n_unique,missing_count,missing_percentage,top_values,rare_category_count
VMONTH,12,0,0.0,2.0=1619 (10.1%); 12.0=1602 (10.0%); 1.0=1468 (9.2%); 7.0=1448 (9.0%); 6.0=1408 (8.8%),0
VDAYR,7,0,0.0,2.0=2631 (16.4%); 3.0=2415 (15.1%); 4.0=2374 (14.8%); 5.0=2301 (14.4%); 6.0=2259 (14.1%),0
ARRTIME,1438,0,0.0,-9=243 (1.5%); 1124=29 (0.2%); 1440=29 (0.2%); 1309=27 (0.2%); 1116=27 (0.2%),1437
AGER,6,0,0.0,3.0=4170 (26.0%); 4.0=3703 (23.1%); 1.0=2849 (17.8%); 2.0=2084 (13.0%); 6.0=1638 (10.2%),0
RESIDNCE,6,0,0.0,1.0=14952 (93.3%); 3.0=338 (2.1%); 2.0=285 (1.8%); 4.0=188 (1.2%); -9.0=161 (1.0%),1
SEX,2,0,0.0,1.0=8465 (52.8%); 2.0=7560 (47.2%),0
ETHUN,3,0,0.0,2.0=11500 (71.8%); -9.0=2333 (14.6%); 1.0=2192 (13.7%),0
ETHIM,2,0,0.0,2.0=13377 (83.5%); 1.0=2648 (16.5%),0
RACEUN,7,0,0.0,1.0=8737 (54.5%); 2.0=3667 (22.9%); -9.0=3022 (18.9%); 3.0=396 (2.5%); 5.0=93 (0.6%),3
RACER,3,0,0.0,1.0=11001 (68.6%); 2.0=4248 (26.5%); 3.0=776 (4.8%),0
RACERETH,4,0,0.0,1.0=8748 (54.6%); 2.0=3943 (24.6%); 3.0=2648 (16.5%); 4.0=686 (4.3%),0
ARREMS,4,0,0.0,2.0=12682 (79.1%); 1.0=2848 (17.8%); -8.0=389 (2.4%); -9.0=106 (0.7%),1
AMBTRANSFER,5,0,0.0,-7.0=13071 (81.6%); 2.0=2234 (13.9%); -9.0=386 (2.4%); -8.0=180 (1.1%); 1.0=154 (1.0%),1
NOPAY,2,0,0.0,0.0=15867 (99.0%); 1.0=158 (1.0%),1
PAYPRIV,2,0,0.0,0.0=11160 (69.6%); 1.0=4865 (30.4%),0
PAYMCARE,2,0,0.0,0.0=12838 (80.1%); 1.0=3187 (19.9%),0
PAYMCAID,2,0,0.0,0.0=9489 (59.2%); 1.0=6536 (40.8%),0
PAYWKCMP,2,0,0.0,0.0=15896 (99.2%); 1.0=129 (0.8%),1
PAYSELF,2,0,0.0,0.0=15246 (95.1%); 1.0=779 (4.9%),0
PAYNOCHG,2,0,0.0,0.0=15964 (99.6%); 1.0=61 (0.4%),1
PAYOTH,2,0,0.0,0.0=15187 (94.8%); 1.0=838 (5.2%),0
PAYDK,2,0,0.0,0.0=14446 (90.1%); 1.0=1579 (9.9%),0
PAYTYPER,9,0,0.0,3.0=5943 (37.1%); 1.0=3833 (23.9%); 2.0=3187 (19.9%); -8.0=1579 (9.9%); 5.0=748 (4.7%),3
