,WAITTIME,LOV,AGE,AGEDAYS,TEMPF,PULSE,RESPR,BPSYS,BPDIAS,POPCT,RFV1,RFV2,RFV3,RFV4,RFV5,RFV13D,RFV23D,RFV33D,RFV43D,RFV53D,TOTDIAG,NUMGIV,NUMDIS,NUMMED,TEMPDF,PULSED,RESPRD,BPSYSD,BPDIASD,LOS,OBSSTAY,HOSPCODE,PATCODE,CPSUM,PATWT,EDWT,BOARDED
WAITTIME,1.0,0.15270649233201553,-0.015329118238087708,0.003670709490102147,0.0786912073450701,0.0644969923125142,0.06204595443121679,0.04509240955782183,0.05108977773471588,0.06572960861912751,-0.03988727327084049,-0.01017859763292855,0.006975594023083711,-0.004637413081373482,-0.004494687277733026,-0.03988812787169752,-0.010177510912983976,0.006974902507366029,-0.004636738730009606,-0.004495319448545814,0.0427236195355511,0.035274867043735544,0.020121674956348937,0.03403304250414095,0.01987403124059696,0.03057323937571212,0.032647520887835554,0.029268053091233853,0.03250081469494698,-0.00250012653189648,0.01509542701461178,-0.0342766705779939,-0.001892047674731048,-0.04910479483528314,0.05088942246867787,0.08411012058506191,0.02284531515633967
LOV,0.15270649233201553,1.0,0.13008904909675417,-0.026035876112982977,0.030835231506601744,-0.00835639128789637,0.02549262207129993,0.09112419453531029,0.07173904885628761,0.04900100870962668,-0.03990705135214828,0.005867534733670569,0.026324285102143,0.03881208266268634,0.035875375165859806,-0.03990696399591274,0.005858556329606035,0.026317091232944154,0.038808564174236296,0.03586906608754539,0.27480316579185277,0.2668721307630778,0.058329645197255586,0.21964675548645501,0.14069657034028232,0.13472365651849108,0.13620051746096837,0.16209167819721307,0.15642625752683992,0.21805781136969127,0.22177366109983626,0.0014856078879746791,0.003133600865070845,0.1136654477502842,-0.037681602874307156,-0.1967426626166744,0.4065683162532856
AGE,-0.015329118238087708,0.13008904909675417,1.0,-0.23195774144660283,-0.022804344451729762,-0.08723332781921643,-0.15453802267394387,0.4526745208187289,0.33330244846892426,0.02076427972086485,0.003005432897565529,0.054539778119666656,0.06756895942182968,0.08058524916238109,0.078774553424267,0.0030018556442668195,0.054540786202938875,0.06757115180959031,0.08058352744586142,0.07877071034080745,0.3326225591511294,0.1744076944595743,0.06452906600320854,0.20016656287154594,0.03338114669052043,0.0601525483522394,0.08724492112976737,0.27445780968880845,0.23698299715371207,0.2264804310887384,0.047696016394116275,-0.009050616253192164,-0.08615022689290662,-0.06880750334639651,0.02914175363449,0.041361974206758766,0.07182796622873802
AGEDAYS,0.003670709490102147,-0.026035876112982977,-0.23195774144660283,1.0,0.013756366993958576,0.08426165892147272,0.22026215640514454,-0.2697639636246926,-0.25617314279188863,0.00661947807281946,-0.03553373728827835,-0.02581893679957577,-0.02096944757928029,-0.022287995837782067,-0.02344749389266558,-0.03553022669910308,-0.025819410407036055,-0.0209681236074196,-0.022286415192542448,-0.02344508028786923,-0.0784210177140929,-0.056673515357456926,-0.022181044617574825,-0.061718071406260656,-0.0008149212709947626,0.009990411061827756,0.004897167148182836,-0.10075552925686107,-0.10044912830997414,-0.03131141046085294,0.008353526841818183,-0.01176737895787098,0.026900831308362537,0.029721131318582943,-0.01943203061213493,0.04344601891975903,-0.011551628550233619
TEMPF,0.0786912073450701,0.030835231506601744,-0.022804344451729762,0.013756366993958576,1.0,0.2056467594769425,0.4608770313880385,0.3658281884584663,0.3560938414617073,0.5531403760691889,-0.08496411110303763,0.04679505066691321,0.05531992957189528,0.03782770750140909,0.033476415552672396,-0.0849668632956062,0.04677021368022658,0.05530482751114865,0.03781636761468636,0.03346938120018585,0.11692644269624657,0.03964367154997498,0.01485418477115546,0.028799068485118748,0.10611872679456612,0.10635454620096756,0.10483255285704314,0.10051894660538814,0.09975259937420104,-0.006849270697855455,-0.0013762310201320444,0.01102681374358312,-0.0007149789934698552,0.03889414221576258,0.024136355539502687,-0.038784443714260396,-0.006137159964229582
PULSE,0.0644969923125142,-0.00835639128789637,-0.08723332781921643,0.08426165892147272,0.2056467594769425,1.0,0.38196896992984064,0.02383913852563878,0.07317716617433591,0.1509538193196996,-0.05359882474275024,-0.015898246697618263,-0.020077376689875363,-0.017938988188207643,-0.016435831893141684,-0.053597515487479104,-0.015901641323832094,-0.020078546050322985,-0.017939261635637645,-0.016435271284066327,-0.008220663471554349,-0.007140146419366217,-0.012275980006102053,-0.024465653619865087,0.007537940354837404,0.05733563048793955,0.0063543215615313575,-0.04170896880499837,-0.03445073180059012,-0.0033562023293049405,-0.006822014797598444,0.05178856046972017,-0.06132337203399618,-0.020624114595090563,-0.012180425709841328,0.28777763985527316,-0.0009581103707797154
RESPR,0.06204595443121679,0.02549262207129993,-0.15453802267394387,0.22026215640514454,0.4608770313880385,0.38196896992984064,1.0,0.09751023434551163,0.09799373974559815,0.42019036028634804,-0.09287214833333916,0.01431461575559323,0.032544282479954244,0.012412334211179692,0.009121912558748923,-0.09287024149192254,0.014295738483965745,0.032534781302656635,0.012404835401741117,0.009118106377292772,0.08152367883698534,0.04330316746520065,0.017760135382439236,0.02985514406758552,0.08513773768047975,0.11863419395546859,0.13181229322213522,0.01889782572176986,0.02037195155301032,0.03006242680588998,-0.0012999835667215852,-0.012561537458951213,0.016507299389832666,0.05143595787593733,0.000581946672889278,-0.017535669431615455,0.018206519783035172
BPSYS,0.04509240955782183,0.09112419453531029,0.4526745208187289,-0.2697639636246926,0.3658281884584663,0.02383913852563878,0.09751023434551163,1.0,0.8856869612099384,0.3822396053031987,-0.020016077180186616,0.06376525971025172,0.06529900923037289,0.06539112104245741,0.06578732436862497,-0.020022484194082788,0.06375260255264585,0.06529359962831063,0.06538419048786998,0.0657805821517344,0.24247659342952346,0.13771807615785492,0.06307223740826678,0.14846775253284317,0.07786988384404127,0.09466445233593078,0.10864479095919252,0.3136071993924303,0.2932696912602762,0.061847892738546045,0.016716627925937415,0.015479388399163817,-0.05780805836241971,-0.032504479638981204,0.027683029837715287,0.01042137339323806,0.025683159911670923
BPDIAS,0.05108977773471588,0.07173904885628761,0.33330244846892426,-0.25617314279188863,0.3560938414617073,0.07317716617433591,0.09799373974559815,0.8856869612099384,1.0,0.3686695328114908,-0.01997090519290089,0.053839814354665165,0.055778373234208575,0.05754125257139102,0.05443955130591305,-0.019977195266512815,0.053828579615278205,0.0557733336002775,0.05753484238763478,0.05443252808893786,0.20294804078651765,0.12010758460399275,0.055812125041921755,0.12562538740919169,0.06699982336647378,0.07986824341665451,0.0828645898265884,0.25926926541742784,0.26747543904612386,0.04233538290173246,0.006375386078689322,0.029310515347076415,-0.05168666450605936,-0.02148956326035686,0.01848686756200972,0.020467637655672527,0.020595839515811586
POPCT,0.06572960861912751,0.04900100870962668,0.02076427972086485,0.00661947807281946,0.5531403760691889,0.1509538193196996,0.42019036028634804,0.3822396053031987,0.3686695328114908,1.0,-0.07593549500281817,0.08659535198707165,0.09065753193980201,0.07205604516652005,0.05549896464192027,-0.07593858989416535,0.08656752263638276,0.09064030559233888,0.07204377161976354,0.055491194187127627,0.1467458971427955,0.06334468049082577,0.049144581884378105,0.06918119871000133,0.1186276968226271,0.15019202457406,0.14790175168903344,0.15858510614843163,0.15791373060434016,0.0016174266374929702,-0.006197686166931969,0.03189595793876195,-0.013955083530319,0.0451755009627792,-0.019863848697713665,-0.25718245521802574,0.016486959766726417
