variable_name,missing_count,missing_percentage
PRESCR30,16024,99.99
COMSTAT30,16024,99.99
CONTSUB30,16024,99.99
COMSTAT29,16020,99.97
CONTSUB29,16020,99.97
PRESCR29,16020,99.97
CONTSUB28,16013,99.93
COMSTAT28,16013,99.93
PRESCR28,16013,99.93
CONTSUB27,16011,99.91
COMSTAT27,16011,99.91
PRESCR27,16011,99.91
COMSTAT26,16005,99.88
CONTSUB26,16005,99.88
PRESCR26,16005,99.88
COMSTAT25,15996,99.82
CONTSUB25,15996,99.82
PRESCR25,15996,99.82
COMSTAT24,15988,99.77
CONTSUB24,15988,99.77
PRESCR24,15988,99.77
COMSTAT23,15971,99.66
CONTSUB23,15971,99.66
PRESCR23,15971,99.66
COMSTAT22,15962,99.61
CONTSUB22,15962,99.61
PRESCR22,15962,99.61
COMSTAT21,15945,99.5
CONTSUB21,15945,99.5
PRESCR21,15945,99.5
COMSTAT20,15917,99.33
CONTSUB20,15917,99.33
PRESCR20,15917,99.33
COMSTAT19,15902,99.23
CONTSUB19,15902,99.23
PRESCR19,15902,99.23
COMSTAT18,15870,99.03
CONTSUB18,15870,99.03
PRESCR18,15870,99.03
EDWT,15837,98.83
PRESCR17,15834,98.81
CONTSUB17,15834,98.81
COMSTAT17,15834,98.81
CONTSUB16,15801,98.6
COMSTAT16,15801,98.6
PRESCR16,15801,98.6
COMSTAT15,15753,98.3
CONTSUB15,15753,98.3
PRESCR15,15753,98.3
COMSTAT14,15701,97.98
CONTSUB14,15701,97.98
PRESCR14,15701,97.98
COMSTAT13,15638,97.59
CONTSUB13,15638,97.59
PRESCR13,15638,97.59
CONTSUB12,15565,97.13
COMSTAT12,15565,97.13
PRESCR12,15565,97.13
COMSTAT11,15489,96.66
CONTSUB11,15489,96.66
PRESCR11,15489,96.66
CONTSUB10,15379,95.97
PRESCR10,15379,95.97
COMSTAT10,15379,95.97
CONTSUB9,15193,94.81
PRESCR9,15193,94.81
COMSTAT9,15193,94.81
PRESCR8,14958,93.34
COMSTAT8,14958,93.34
CONTSUB8,14958,93.34
COMSTAT7,14570,90.92
CONTSUB7,14570,90.92
PRESCR7,14570,90.92
CONTSUB6,14031,87.56
PRESCR6,14031,87.56
COMSTAT6,14031,87.56
COMSTAT5,13149,82.05
CONTSUB5,13149,82.05
PRESCR5,13149,82.05
PRESCR4,11771,73.45
COMSTAT4,11771,73.45
CONTSUB4,11771,73.45
COMSTAT3,9709,60.59
CONTSUB3,9709,60.59
PRESCR3,9709,60.59
COMSTAT2,6885,42.96
CONTSUB2,6885,42.96
PRESCR2,6885,42.96
COMSTAT1,3634,22.68
CONTSUB1,3634,22.68
PRESCR1,3634,22.68
ASTHMA,0,0.0
CANCER,0,0.0
CEBVD,0,0.0
CKD,0,0.0
COPD,0,0.0
CHF,0,0.0
CAD,0,0.0
DEPRN,0,0.0
DIABTYP1,0,0.0
DIABTYP2,0,0.0
DIABTYP0,0,0.0
ESRD,0,0.0
HPE,0,0.0
EDHIV,0,0.0
HYPLIPID,0,0.0
HTN,0,0.0
OBESITY,0,0.0
OSA,0,0.0
OSTPRSIS,0,0.0
