variable_name,count,mean,std,min,p25,median,p75,max,negative_value_count,negative_value_percentage,iqr_lower_bound,iqr_upper_bound,outlier_count,outlier_percentage
WAITTIME,16025,28.364,61.939,-9.0,1.0,10.0,31.0,1280.0,2753,17.18,-44.0,76.0,1617,10.09
LOV,16025,285.228,413.253,-9.0,101.0,182.0,316.0,5722.0,697,4.35,-221.5,638.5,1258,7.85
AGE,16025,40.266,24.968,0.0,20.0,38.0,60.0,94.0,0,0.0,-40.0,120.0,0,0.0
AGEDAYS,16025,-1.902,35.444,-7.0,-7.0,-7.0,-7.0,364.0,15597,97.33,-7.0,-7.0,428,2.67
TEMPF,16025,924.661,232.879,-9.0,976.0,981.0,986.0,1056.0,937,5.85,961.0,1001.0,1642,10.25
PULSE,16025,91.108,75.043,-9.0,74.0,87.0,102.0,998.0,965,6.02,32.0,144.0,1608,10.03
RESPR,16025,18.285,9.053,-9.0,16.0,18.0,20.0,150.0,856,5.34,10.0,26.0,2029,12.66
BPSYS,16025,118.894,50.031,-9.0,111.0,128.0,145.0,289.0,1722,10.75,60.0,196.0,1953,12.19
BPDIAS,16025,69.527,31.689,-9.0,65.0,76.0,87.0,998.0,1753,10.94,32.0,120.0,1884,11.76
POPCT,16025,90.796,26.074,-9.0,96.0,98.0,99.0,100.0,969,6.05,91.5,103.5,1388,8.66
RFV1,16025,22757.22,16507.595,-9.0,12250.0,15451.0,22150.0,89990.0,25,0.16,-2600.0,37000.0,2814,17.56
RFV2,16025,13753.623,16058.176,-9.0,-9.0,12100.0,16800.0,89990.0,5805,36.22,-25222.5,42013.5,1398,8.72
RFV3,16025,8742.347,14493.728,-9.0,-9.0,-9.0,14400.0,89990.0,9591,59.85,-21622.5,36013.5,955,5.96
RFV4,16025,5229.571,11886.349,-9.0,-9.0,-9.0,-9.0,89990.0,12203,76.15,-9.0,-9.0,3822,23.85
RFV5,16025,3122.033,9973.227,-9.0,-9.0,-9.0,-9.0,89990.0,13919,86.86,-9.0,-9.0,2106,13.14
RFV13D,16025,2275.67,1650.779,0.0,1225.0,1545.0,2215.0,8999.0,0,0.0,-260.0,3700.0,2814,17.56
RFV23D,16025,1375.657,1605.533,0.0,0.0,1210.0,1680.0,8999.0,0,0.0,-2520.0,4200.0,1398,8.72
RFV33D,16025,874.755,1449.039,0.0,0.0,0.0,1440.0,8999.0,0,0.0,-2160.0,3600.0,955,5.96
RFV43D,16025,523.633,1188.324,0.0,0.0,0.0,0.0,8999.0,0,0.0,0.0,0.0,3822,23.85
RFV53D,16025,312.98,997.072,0.0,0.0,0.0,0.0,8999.0,0,0.0,0.0,0.0,2106,13.14
TOTDIAG,16025,3.569,3.804,-9.0,1.0,3.0,6.0,22.0,225,1.4,-6.5,13.5,402,2.51
NUMGIV,16025,1.841,2.421,0.0,0.0,1.0,3.0,28.0,0,0.0,-4.5,7.5,469,2.93
NUMDIS,16025,1.059,2.252,0.0,0.0,0.0,1.0,30.0,0,0.0,-1.5,2.5,1801,11.24
NUMMED,16025,2.75,3.343,0.0,1.0,2.0,4.0,30.0,0,0.0,-3.5,8.5,832,5.19
TEMPDF,16025,285.17,452.854,-9.0,-9.0,-9.0,976.0,1040.0,11269,70.32,-1486.5,2453.5,0,0.0
PULSED,16025,32.241,50.34,-9.0,-9.0,-9.0,79.0,998.0,9018,56.27,-141.0,211.0,5,0.03
RESPRD,16025,2.954,14.78,-9.0,-9.0,-9.0,18.0,139.0,9253,57.74,-49.5,58.5,40,0.25
BPSYSD,16025,49.29,70.317,-9.0,-9.0,-9.0,123.0,248.0,9334,58.25,-207.0,321.0,0,0.0
BPDIASD,16025,26.344,42.685,-9.0,-9.0,-9.0,72.0,156.0,9339,58.28,-130.5,193.5,0,0.0
LOS,16025,-5.378,5.08,-9.0,-7.0,-7.0,-7.0,99.0,14002,87.38,-7.0,-7.0,2121,13.24
OBSSTAY,16025,12.333,207.323,-9.0,-7.0,-7.0,-7.0,7397.0,15700,97.97,-7.0,-7.0,391,2.44
HOSPCODE,16025,92.747,56.447,1.0,41.0,90.0,145.0,188.0,0,0.0,-115.0,301.0,0,0.0
PATCODE,16025,49.729,32.603,1.0,23.0,46.0,73.0,173.0,0,0.0,-52.0,148.0,89,0.56
CPSUM,16025,51466.69,50022.714,1.0,14.0,100002.0,100108.0,100185.0,0,0.0,-150127.0,250249.0,0,0.0
PATWT,16025,9697.207,9713.634,89.85488,3166.61604,6523.82465,11760.94339,57925.50019,0,0.0,-9724.875,24652.434,1386,8.65
EDWT,188,24.947,23.856,1.52202,8.6120775,18.455624999999998,31.66563,104.49268,0,0.0,-25.968,66.246,15,7.98
BOARDED,16025,15.042,167.678,-9.0,-7.0,-7.0,-7.0,4206.0,14352,89.56,-7.0,-7.0,2116,13.2
