variable_name,correlation_with_target
LOS,0.8173930019618048
TOTDIAG,0.3939298688720871
NUMGIV,0.36495096879804645
BOARDED,0.3365839447501845
NUMMED,0.2711097644205466
AGE,0.25613833281086484
LOV,0.2418548781484609
EDWT,-0.17305138144022206
BPSYSD,0.16656255991998895
BPDIASD,0.15679839553798722
PULSED,0.14564045790505256
RESPRD,0.13464363271595814
TEMPDF,0.08786054485112275
CPSUM,0.07795131380944612
BPSYS,0.06574070483093784
PATWT,-0.052405420125507564
OBSSTAY,0.05039088933635788
RFV4,0.04016242424046371
RFV43D,0.040154861124792995
BPDIAS,0.039213122428668076
