,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
TOTDIAG,0.083571467391381,1.0,0.03695269974026126,2.0,1.5,TOTDIAG
CONSULT__Yes,0.06262797451397839,2.0,0.04441347542299793,1.0,1.5,CONSULT
NUMDIS,0.044989192564846014,5.0,0.023487956711805327,3.0,4.0,NUMDIS
NUMGIV,0.05616639248634092,3.0,0.015121036593375296,6.0,4.5,NUMGIV
CBC__Yes,0.048261406836940246,4.0,0.012075922299046478,8.0,6.0,CBC
LOV,0.03871880318651666,9.0,0.01986164110612788,4.0,6.5,LOV
IVFLUIDS__Yes,0.04415786214375084,6.0,0.01315525865400456,7.0,6.5,IVFLUIDS
DIAG1__frequency,0.039626793471990496,8.0,0.01083592046428047,13.0,10.5,DIAG1
AGE,0.03155552729563249,27.0,0.01826582118705866,5.0,16.0,AGE
GPMED6__1,0.03252825033018847,24.0,0.01177341018177562,9.0,16.5,GPMED6
BLOODCX__Yes,0.032564387484264046,23.0,0.011488373124115063,11.0,17.0,BLOODCX
GPMED2__1,0.03592621664789486,14.0,0.008348208199987528,20.0,17.0,GPMED2
GPMED4__1,0.03457236887218129,16.0,0.008187961475813528,21.0,18.5,GPMED4
GPMED3__1,0.03375108674961136,20.0,0.008475131754120579,19.0,19.5,GPMED3
GPMED5__1,0.03237943511605179,25.0,0.009558545172255788,15.0,20.0,GPMED5
RFV13D__frequency,0.03415736279754111,18.0,0.006280517664975916,29.0,23.5,RFV13D
DRUGID1__frequency,0.038358716097908196,10.0,0.005504303874649247,37.0,23.5,DRUGID1
RX2CAT1__frequency,0.035035396905330085,15.0,0.005678904753796808,34.0,24.5,RX2CAT1
EKG__Yes,0.029967428818589825,36.0,0.009767104657173334,14.0,25.0,EKG
COVIDTEST__Yes,0.02870197695554988,38.0,0.01138574688039143,12.0,25.0,COVIDTEST
RX1CAT1__frequency,0.04240101291482867,7.0,0.005071089193680762,45.0,26.0,RX1CAT1
MED1__frequency,0.03763627719929441,11.0,0.005085122903003727,44.0,27.5,MED1
DRUGID2__frequency,0.037014197319101605,12.0,0.005098258911285188,43.0,27.5,DRUGID2
CMP__Yes,0.030588098238202077,34.0,0.0059099674434909535,32.0,33.0,CMP
DRUGID3__frequency,0.033997235590954133,19.0,0.005011020347840579,48.0,33.5,DRUGID3
DIAG2__frequency,0.027570741872188886,41.0,0.006307407614423891,28.0,34.5,DIAG2
RX3CAT1__frequency,0.036038234982611606,13.0,0.004326031328017267,64.0,38.5,RX3CAT1
PTTINR__Yes,0.02279451504867347,67.0,0.01149739583913443,10.0,38.5,PTTINR
AGE_GROUP__older_adult_65_plus,0.023572868140713465,61.0,0.008543502023456532,18.0,39.5,AGE_GROUP
RX1V1C1__frequency,0.026635428384786053,45.0,0.00540108404068952,38.0,41.5,RX1V1C1
NUMMED,0.03446897836753804,17.0,0.004295824514032069,67.0,42.0,NUMMED
RX2V2C1__frequency,0.03336022572282471,22.0,0.0043917737070146975,62.0,42.0,RX2V2C1
DRUGID4__frequency,0.03227726526060182,26.0,0.004498209288062385,60.0,43.0,DRUGID4
RX3V2C1__frequency,0.030791841606196746,31.0,0.004554338045182045,58.0,44.5,RX3V2C1
MED2__frequency,0.02732983123014976,43.0,0.005067815279738149,46.0,44.5,MED2
ARREMS__1,0.022836714601340624,66.0,0.00731708581273505,24.0,45.0,ARREMS
