source_variable,mutual_information,tree_importance
CONSULT,0.06262797451397839,0.04441347542299793
TOTDIAG,0.083571467391381,0.03695269974026126
NUMDIS,0.044989192564846014,0.023487956711805327
LOV,0.03871880318651666,0.01986164110612788
AGE,0.03155552729563249,0.01826582118705866
NUMGIV,0.05616639248634092,0.015121036593375296
GPMED6,0.03252825033018847,0.013357409532389664
IVFLUIDS,0.04415786214375084,0.01315525865400456
CBC,0.048261406836940246,0.012075922299046478
PTTINR,0.02279451504867347,0.01149739583913443
BLOODCX,0.032564387484264046,0.011488373124115063
COVIDTEST,0.02870197695554988,0.01138574688039143
DIAG1,0.039626793471990496,0.01083592046428047
GPMED5,0.03306089288441516,0.01067347467044987
GPMED2,0.05167142951301029,0.009975067353895776
EKG,0.029967428818589825,0.009767104657173334
GPMED3,0.04406890050923806,0.009705301198596328
AGE_GROUP,0.03324839088807496,0.009418459916694745
GPMED4,0.0396322394496329,0.009352744295782513
TOTCHRON,0.030509642293473194,0.009242558264569895
BPDIAS,0.0,0.0087934456486565
SHOCK_INDEX,0.002741572945405446,0.008603148458096496
IMMEDR,0.03362236228508397,0.008440971678041654
ARREMS,0.022836714601340624,0.008139935477275697
VMONTH,0.017715469991101074,0.007727148134253228
PULSE_PRESSURE,0.006485795881874257,0.007525465550382165
BPSYS,0.008258967972759823,0.00749202931946572
PAYTYPER,0.018371953141004704,0.006789972413208193
PULSE,0.0,0.0067030958450856526
WAITTIME,0.0021975378138707757,0.006579541366188579
BPDIASD,0.01339584735941024,0.006551209144358599
AMBTRANSFER,0.028297478512477214,0.006466956657980163
DIAG2,0.027570741872188886,0.006307407614423891
RFV13D,0.03415736279754111,0.006280517664975916
AGER,0.02904420788742157,0.006204305985838594
GPMED9,0.02152443405373239,0.006177633063166475
PULSED,0.007429669730113275,0.00616387425016682
TEMPF,0.0,0.006119150177552581
CMP,0.030588098238202077,0.0059099674434909535
GPMED8,0.027605670646892788,0.005904049645541054
CKD,0.007624412244872092,0.005854256209100704
RX2CAT1,0.035035396905330085,0.005678904753796808
BPSYSD,0.007203911733335788,0.0055128123860305345
DRUGID1,0.038358716097908196,0.005504303874649247
RX1V1C1,0.026635428384786053,0.00540108404068952
POPCT,0.01039085808986262,0.005373679620554838
OTHERBLD,0.023940858638848317,0.005218564273268833
ARRTIME,0.0,0.005203538053267331
RESPR,0.0035831176367440154,0.005173703880434891
DRUGID2,0.037014197319101605,0.005098258911285188
MED1,0.03763627719929441,0.005085122903003727
RX1CAT1,0.04240101291482867,0.005071089193680762
MED2,0.02732983123014976,0.005067815279738149
GPMED7,0.028375930781238123,0.005031687106230423
RX1V2C1,0.026551582426929565,0.0050267239359985975
DRUGID3,0.033997235590954133,0.005011020347840579
RFV23D,0.012098992801078845,0.0049721978435773515
RESPRD,0.009577464120925416,0.004819929856352893
RX3V1C1,0.025697024801555557,0.004763385958398569
EMT,0.01916424717650611,0.004688239931887784
LACTATE,0.016345919000331666,0.004679585935003118
HTN,0.019471001695070544,0.004654871007639607
DIAG3,0.01961011353860842,0.004622129729796449
VDAYR,0.007758552889097103,0.004592520554539802
RX3V2C1,0.030791841606196746,0.004554338045182045
DRUGID4,0.03227726526060182,0.004498209288062385
PAINSCALE,0.009880583808826504,0.004470087836655007
RX1V3C1,0.022978883161890673,0.004394965771567167
RX2V2C1,0.03336022572282471,0.0043917737070146975
TEMPDF,0.00526644375056784,0.004327539975992385
RX3CAT1,0.036038234982611606,0.004326031328017267
MED4,0.03070852649854694,0.004300457610628617
NUMMED,0.03446897836753804,0.004295824514032069
RX2V1C1,0.025181972688561594,0.004289590021751585
RX4CAT1,0.031177816182154983,0.004262272675874842
PAYMCARE,0.021099298923936916,0.004253768787590424
RX2V3C1,0.024078015181045576,0.0039784692062001465
NOCHRON,0.030124792669943057,0.003847093222654101
HYPLIPID,0.018617330662928477,0.003786686698880154
CHF,0.012107041769131355,0.003761649648991518
CATSCAN,0.019553169831454387,0.0037128394590546523
MED3,0.03367172047634215,0.003698456373752478
RFV33D,2.780596320883788e-05,0.0036822222522563093
COMSTAT7,0.029392021214302844,0.0036322854481936812
DIABTYP2,0.009618862480307078,0.003625746904586686
TOTPROC,0.021500826265795636,0.0035765909467561597
RX4V1C1,0.029159331857155024,0.00357369701058399
RX3V3C1,0.024043515421862116,0.0035211494660844895
PROC,0.03150395321709998,0.0034962924199322116
RX6CAT1,0.02558690890842441,0.003431911118415348
DRUGID6,0.028591503205498192,0.0034125380430674
GLUCOSE,0.011114217101168888,0.00330867093068283
RX5CAT1,0.030231572149897357,0.0032962979928286584
CARDMON,0.011836428963362566,0.003294675867393719
MED7,0.023639637796083912,0.0032849759883911522
RX6V1C1,0.026218034684353464,0.0032797424733785
SURGDAY,0.0055813121531220755,0.0032014401289608176
REGION,0.00961686266331685,0.003121643945265197
CEBVD,0.0056635685401054126,0.003112115910111225
RX7V1C1,0.023494819011967927,0.003111808748870458
RX4V3C1,0.020850219075894127,0.0030600373033415024
RX6V2C1,0.025079897869707102,0.0029669189782190503
BMP,0.0113697764044971,0.0029657500342222002
MHPROV,0.0018867292242585876,0.002941268365543299
GPMED10,0.015642620709407806,0.002924824625521177
EDPRIM,0.003906266734072572,0.0029024222995434864
