,coefficient,weighted_std_error,weighted_p_value,significant_unweighted,cluster_robust_std_error,cluster_robust_p_value,significant_cluster_robust
const,-3.8028343696891045,0.0011147258190019422,0.0,True,0.29243335854693964,1.1594701887720731e-38,True
TOTDIAG,0.2938722419449755,0.0005479837080702223,0.0,True,0.14151924875920546,0.037842820677831686,True
CONSULT__Yes,1.8170218186791673,0.0008221220617054399,0.0,True,0.23159862752400417,4.310124938419143e-15,True
NUMDIS,-0.2410060432849997,0.00047397557759548556,0.0,True,0.1965706612504557,0.22017874181835317,False
NUMGIV,0.29002348566306424,0.0006455964783076673,0.0,True,0.10848370775735416,0.007508017709008146,True
CBC__Yes,0.4456095856035784,0.001284559889243088,0.0,True,0.30060571970476213,0.13824126597719774,False
LOV,0.17084297948418015,0.00033652098881576704,0.0,True,0.07633029356897997,0.02520757467048724,True
IVFLUIDS__Yes,0.5185361333970219,0.0008950338816403905,0.0,True,0.16547705694529183,0.0017268592694805384,True
DIAG1__frequency,-16.126375187888243,0.05104215339191526,0.0,True,8.471453488293626,0.05696050911083141,False
AGE,0.5536542548339011,0.0004343761952414504,0.0,True,0.0839616794291868,4.2775589252540335e-11,True
GPMED6__1,0.11821731267218924,0.0017245098464208747,0.0,True,0.20571482912588723,0.5655172236952166,False
BLOODCX__Yes,0.8634105131162507,0.0012122452157728961,0.0,True,0.19970009397385238,1.5354818132282585e-05,True
GPMED2__1,0.3401118331856769,0.0011013953785461124,0.0,True,0.1743451622663192,0.05108132605467711,False
GPMED4__1,-0.14136932482751993,0.001396635584292473,0.0,True,0.1880159871386478,0.45211086515844734,False
GPMED3__1,0.21740532838908985,0.0012525998179529017,0.0,True,0.1272437188495112,0.08752986092985765,False
GPMED5__1,0.06326831330649739,0.0016256802414855742,0.0,True,0.2055904761655162,0.7582805497012692,False
